write_off_fraction,gross_margin,critical_ratio,model,eur_per_series_day,is_best
0.1,0.15,0.5968928863450531,Chronos-Bolt (zero-shot),0.6084719417017054,True
0.1,0.15,0.5968928863450531,AutoETS,0.6485946299114251,False
0.1,0.15,0.5968928863450531,AutoARIMA,0.6585614475327388,False
0.1,0.15,0.5968928863450531,LightGBM,0.706534556763277,False
0.1,0.15,0.5968928863450531,SeasonalNaive,0.7583343059619957,False
0.1,0.15,0.5968928863450531,SeasonalNaive (library),0.814822613744608,False
0.1,0.28,0.7654284002396645,Chronos-Bolt (zero-shot),0.8418992086746845,True
0.1,0.28,0.7654284002396645,AutoETS,0.8513257589898016,False
0.1,0.28,0.7654284002396645,AutoARIMA,0.8641048390769647,False
0.1,0.28,0.7654284002396645,LightGBM,0.9256767882259743,False
0.1,0.28,0.7654284002396645,SeasonalNaive,0.9601854440226932,False
0.1,0.28,0.7654284002396645,SeasonalNaive (library),1.1523108412712957,False
0.1,0.4,0.8483439860546194,AutoETS,0.8957541034126969,True
0.1,0.4,0.8483439860546194,AutoARIMA,0.9103043693410264,False
0.1,0.4,0.8483439860546194,Chronos-Bolt (zero-shot),0.9192477042994536,False
0.1,0.4,0.8483439860546194,SeasonalNaive,0.9998036243010037,False
0.1,0.4,0.8483439860546194,LightGBM,1.015395762077591,False
0.1,0.4,0.8483439860546194,SeasonalNaive (library),1.2064690383747325,False
0.3,0.15,0.35603966834661027,Chronos-Bolt (zero-shot),0.7583739013710246,True
0.3,0.15,0.35603966834661027,AutoETS,0.8559477311922667,False
0.3,0.15,0.35603966834661027,AutoARIMA,0.8683499231468265,False
0.3,0.15,0.35603966834661027,SeasonalNaive (library),0.9857831902194784,False
0.3,0.15,0.35603966834661027,LightGBM,1.0083504091965088,False
0.3,0.15,0.35603966834661027,SeasonalNaive,1.0347224575811926,False
0.3,0.28,0.549226139294927,Chronos-Bolt (zero-shot),1.1952365935722065,True
0.3,0.28,0.549226139294927,AutoETS,1.2855468012954172,False
0.3,0.28,0.549226139294927,AutoARIMA,1.3064214351745418,False
0.3,0.28,0.549226139294927,LightGBM,1.424095996264672,False
0.3,0.28,0.549226139294927,SeasonalNaive,1.5226250014092377,False
0.3,0.28,0.549226139294927,SeasonalNaive (library),1.5819148425445797,False
0.3,0.4,0.6762389995368226,Chronos-Bolt (zero-shot),1.4470944477693939,True
0.3,0.4,0.6762389995368226,AutoETS,1.5117305957909697,False
0.3,0.4,0.6762389995368226,AutoARIMA,1.5346055899480928,False
0.3,0.4,0.6762389995368226,LightGBM,1.627619902562123,False
0.3,0.4,0.6762389995368226,SeasonalNaive,1.72831817872144,False
0.3,0.4,0.6762389995368226,SeasonalNaive (library),1.9778996608013772,False
0.6,0.15,0.22179461211261897,Chronos-Bolt (zero-shot),0.8434132280594214,True
0.6,0.15,0.22179461211261897,AutoETS,0.9674715062728783,False
0.6,0.15,0.22179461211261897,AutoARIMA,0.9747407155148258,False
0.6,0.15,0.22179461211261897,SeasonalNaive (library),1.0923311673010845,False
0.6,0.15,0.22179461211261897,LightGBM,1.1905076411305235,False
0.6,0.15,0.22179461211261897,SeasonalNaive,1.2460293538694263,False
0.6,0.28,0.38577683829080484,Chronos-Bolt (zero-shot),1.3794250445055165,True
0.6,0.28,0.38577683829080484,AutoETS,1.5468795930749826,False
0.6,0.28,0.38577683829080484,AutoARIMA,1.569704626840157,False
0.6,0.28,0.38577683829080484,SeasonalNaive (library),1.7966248577774058,False
0.6,0.28,0.38577683829080484,LightGBM,1.8089583333028458,False
0.6,0.28,0.38577683829080484,SeasonalNaive,1.8621077345843506,False
0.6,0.4,0.5184659090909091,Chronos-Bolt (zero-shot),1.7526665189549455,True
0.6,0.4,0.5184659090909091,AutoETS,1.8941695377936312,False
0.6,0.4,0.5184659090909091,AutoARIMA,1.9257946036643738,False
0.6,0.4,0.5184659090909091,LightGBM,2.130016133890182,False
0.6,0.4,0.5184659090909091,SeasonalNaive,2.255951127954879,False
0.6,0.4,0.5184659090909091,SeasonalNaive (library),2.2920813772648447,False
