model,bucket,n_series,win_rate,median_improvement
AutoARIMA,"(0.0376, 0.293]",75,0.6266666666666667,0.07441755497691227
AutoARIMA,"(0.293, 0.645]",75,0.7066666666666667,0.10157502849050748
AutoARIMA,"(0.645, 1.274]",75,0.8666666666666667,0.1619334366731553
AutoARIMA,"(1.274, 17.271]",75,0.88,0.1989417458847329
AutoETS,"(0.0376, 0.293]",75,0.5866666666666667,0.05808529491933789
AutoETS,"(0.293, 0.645]",75,0.6933333333333334,0.08164224171230283
AutoETS,"(0.645, 1.274]",75,0.9066666666666666,0.17621638056505007
AutoETS,"(1.274, 17.271]",75,0.92,0.19983850398354341
Chronos-Bolt (zero-shot),"(0.0376, 0.293]",75,0.9066666666666666,0.40899400358119953
Chronos-Bolt (zero-shot),"(0.293, 0.645]",75,0.9733333333333334,0.2721569145678153
Chronos-Bolt (zero-shot),"(0.645, 1.274]",75,0.96,0.2005927357433671
Chronos-Bolt (zero-shot),"(1.274, 17.271]",75,0.96,0.1873585366798729
LightGBM,"(0.0376, 0.293]",75,0.06666666666666667,-1.0278987315648211
LightGBM,"(0.293, 0.645]",75,0.28,-0.17304797836778474
LightGBM,"(0.645, 1.274]",75,0.76,0.1457811153070313
LightGBM,"(1.274, 17.271]",75,0.92,0.18768329703925823
SeasonalNaive (library),"(0.0376, 0.293]",75,0.0,0.0
SeasonalNaive (library),"(0.293, 0.645]",75,0.0,0.0
SeasonalNaive (library),"(0.645, 1.274]",75,0.0,0.0
SeasonalNaive (library),"(1.274, 17.271]",75,0.0,0.0
