model,bucket,n_series,win_rate,median_improvement
AutoARIMA,"(0.0371, 0.431]",75,0.8933333333333333,0.1992115853249541
AutoARIMA,"(0.431, 0.627]",75,0.8533333333333334,0.15811671082088397
AutoARIMA,"(0.627, 0.784]",75,0.6933333333333334,0.06151230356329407
AutoARIMA,"(0.784, 0.968]",75,0.64,0.08047235563722377
AutoETS,"(0.0371, 0.431]",75,0.9333333333333333,0.22033582947929087
AutoETS,"(0.431, 0.627]",75,0.88,0.16344204278515395
AutoETS,"(0.627, 0.784]",75,0.6933333333333334,0.062618655058028
AutoETS,"(0.784, 0.968]",75,0.6,0.06225024332155138
Chronos-Bolt (zero-shot),"(0.0371, 0.431]",75,0.9733333333333334,0.22569356522359552
Chronos-Bolt (zero-shot),"(0.431, 0.627]",75,0.96,0.1873585366798729
Chronos-Bolt (zero-shot),"(0.627, 0.784]",75,0.9733333333333334,0.2685218085263542
Chronos-Bolt (zero-shot),"(0.784, 0.968]",75,0.8933333333333333,0.4021605480153657
LightGBM,"(0.0371, 0.431]",75,0.9333333333333333,0.2028895034279249
LightGBM,"(0.431, 0.627]",75,0.7466666666666667,0.13214877814147685
LightGBM,"(0.627, 0.784]",75,0.28,-0.17976102224559365
LightGBM,"(0.784, 0.968]",75,0.06666666666666667,-1.0278987315648211
NHITS,"(0.0371, 0.431]",75,0.96,0.2162707359915268
NHITS,"(0.431, 0.627]",75,0.9733333333333334,0.20830198690983215
NHITS,"(0.627, 0.784]",75,0.96,0.27572076742266627
NHITS,"(0.784, 0.968]",75,0.8933333333333333,0.39312297184116896
PatchTST,"(0.0371, 0.431]",75,0.9466666666666667,0.2024082130370295
PatchTST,"(0.431, 0.627]",75,0.9733333333333334,0.1892911111253961
PatchTST,"(0.627, 0.784]",75,0.9333333333333333,0.22199353387910625
PatchTST,"(0.784, 0.968]",75,0.88,0.3322196690369431
SeasonalNaive (library),"(0.0371, 0.431]",75,0.0,0.0
SeasonalNaive (library),"(0.431, 0.627]",75,0.0,0.0
SeasonalNaive (library),"(0.627, 0.784]",75,0.0,0.0
SeasonalNaive (library),"(0.784, 0.968]",75,0.0,0.0
